Country Name,Country Code,Continent Code,Year,Net Migration Rate,DALYs,HDI,GDP,Life Expectancy,Inflation,Mortality,Healthcare expenditure
Afghanistan,AFG,AS,1955,-0.499,,,,,,,
Afghanistan,AFG,AS,1956,-0.4918,,,,,,,
Afghanistan,AFG,AS,1957,-0.48460000000000003,,,,,,,
Afghanistan,AFG,AS,1958,-0.4774,,,,,,,
Afghanistan,AFG,AS,1959,-0.4702,,,,,,,
Afghanistan,AFG,AS,1960,-0.463,,,,32.446,,,
Afghanistan,AFG,AS,1961,-0.45480000000000004,,,,32.962,,,
Afghanistan,AFG,AS,1962,-0.4466,,,,33.471,,,
Afghanistan,AFG,AS,1963,-0.4384,,,,33.971,,,
Afghanistan,AFG,AS,1964,-0.43019999999999997,,,,34.463,,,
Afghanistan,AFG,AS,1965,-0.422,,,,34.948,,,
Afghanistan,AFG,AS,1966,-0.4134,,,,35.43,,,
Afghanistan,AFG,AS,1967,-0.4048,,,,35.914,,,
Afghanistan,AFG,AS,1968,-0.3962,,,,36.403,,,
Afghanistan,AFG,AS,1969,-0.3876,,,,36.9,,,
Afghanistan,AFG,AS,1970,-0.379,,,,37.409,,,
Afghanistan,AFG,AS,1971,-0.37020000000000003,,,,37.93,,,
Afghanistan,AFG,AS,1972,-0.3614,,,,38.461,,,
Afghanistan,AFG,AS,1973,-0.3526,,,,39.003,,,
Afghanistan,AFG,AS,1974,-0.3438,,,,39.558,,,
Afghanistan,AFG,AS,1975,-0.335,,,,40.128,,,
Afghanistan,AFG,AS,1976,-3.8124000000000002,,,,40.715,,,
Afghanistan,AFG,AS,1977,-7.2898000000000005,,,,41.32,,,
Afghanistan,AFG,AS,1978,-10.767200000000003,,,,41.944,,,
Afghanistan,AFG,AS,1979,-14.244600000000002,,,,42.585,,,
Afghanistan,AFG,AS,1980,-17.722,,,,43.244,,,
Afghanistan,AFG,AS,1981,-24.7572,,,,43.923,,,
Afghanistan,AFG,AS,1982,-31.7924,,,,44.617,,,
Afghanistan,AFG,AS,1983,-38.827600000000004,,,,45.324,,,
Afghanistan,AFG,AS,1984,-45.86280000000001,,,,46.04,,,
Afghanistan,AFG,AS,1985,-52.898,,,,46.761,,,
Afghanistan,AFG,AS,1986,-47.329800000000006,,,,47.486,,,
Afghanistan,AFG,AS,1987,-41.7616,,,,48.211,,,
Afghanistan,AFG,AS,1988,-36.1934,,,,48.93,,,
Afghanistan,AFG,AS,1989,-30.6252,,,,49.64,,,
Afghanistan,AFG,AS,1990,-25.057,86375.1727930111,0.302,,50.331,,,
Afghanistan,AFG,AS,1991,-11.982399999999998,83381.0676648592,0.307,,50.999,,,
Afghanistan,AFG,AS,1992,1.0922000000000018,79890.5466889741,0.316,,51.641,,,
Afghanistan,AFG,AS,1993,14.166799999999999,80292.5193875121,0.312,,52.256,,,
Afghanistan,AFG,AS,1994,27.241400000000002,83334.9271286891,0.307,,52.842,,,
Afghanistan,AFG,AS,1995,40.316,82236.1251051037,0.331,,53.398,,,
Afghanistan,AFG,AS,1996,30.468200000000003,81310.2324578914,0.335,,53.924,,,
Afghanistan,AFG,AS,1997,20.6204,82392.7321129375,0.339,,54.424,,,
Afghanistan,AFG,AS,1998,10.772599999999995,86656.2893759802,0.344,,54.906,,,
Afghanistan,AFG,AS,1999,0.9247999999999976,82624.9392849177,0.348,,55.376,,,
Afghanistan,AFG,AS,2000,-8.923,82453.6519208538,0.35,,55.841,,41.7,
Afghanistan,AFG,AS,2001,-5.8562,81231.5655283353,0.353,,56.308,,42.1,
Afghanistan,AFG,AS,2002,-2.7894000000000005,78088.2708275028,0.384,,56.784,,42.1,85.37561035
Afghanistan,AFG,AS,2003,0.2773999999999983,75103.7621759832,0.393,8.83227781263571,57.271,,41.5,86.06919098
Afghanistan,AFG,AS,2004,3.344199999999999,73137.3619761068,0.409,1.41411798058979,57.772,,41.4,84.52759552
Afghanistan,AFG,AS,2005,6.411,71629.7229241899,0.418,11.2297148236429,58.29,12.6862687216715,40.9,78.97008514
Afghanistan,AFG,AS,2006,3.6024,70807.1478516295,0.429,5.35740325126351,58.826,6.78459655001657,40.5,76.82497406
Afghanistan,AFG,AS,2007,0.7938000000000001,69128.7414457584,0.447,13.8263195479763,59.375,8.68057078513406,40.1,78.16999054
Afghanistan,AFG,AS,2008,-2.0147999999999997,66997.4765852593,0.447,3.92498382161573,59.93,26.4186641547444,39.4,75.40338898
Afghanistan,AFG,AS,2009,-4.8234,64894.0918280016,0.46,21.3905283931066,60.484,-6.81116108898995,38.4,72.77924347
Afghanistan,AFG,AS,2010,-7.632,63174.686466167,0.472,14.3624414692681,61.028,2.1785375238942,37.8,78.9966507
Afghanistan,AFG,AS,2011,-5.449199999999999,61540.1543747002,0.477,0.426354784529209,61.553,11.8041858089129,37.1,73.25517273
Afghanistan,AFG,AS,2012,-3.2664,60391.3356208983,0.489,12.7522870887171,62.054,6.44121280934118,36.6,74.48620605
Afghanistan,AFG,AS,2013,-1.0836000000000006,59000.2846499099,0.496,5.60074465808154,62.525,7.38577178397857,36.2,72.04786682
Afghanistan,AFG,AS,2014,1.0991999999999995,59104.7058183641,0.5,2.72454336394854,62.966,4.67399603536339,35.7,73.05592346
Afghanistan,AFG,AS,2015,3.282,59166.9615115877,0.5,1.45131466009755,63.377,-0.661709164713696,35.6,78.3822937
Afghanistan,AFG,AS,2016,2.2824,58734.6483885242,0.502,2.26031420130452,63.763,4.38389195513914,35.6,75.97433472
Afghanistan,AFG,AS,2017,1.2828,56378.6861618018,0.506,2.64700320195786,64.13,4.9759515055383,35.5,75.48257446
